System,User,Operation,Object,Date,Time
SALES,zfenicki,SELECT,DISTRIBUTORS,2020-01-01,09:38:11
PM,gostrow,ALTER,PROJECT_DETAILS,2020-01-01,10:06:26
PM,sbaszel,LOGOFF,none,2020-01-01,10:24:48
PM,pskala,DELETE,CLIENTS,2020-01-01,10:33:07
SALES,mwarzycha,UPDATE,ORDERS,2020-01-01,10:37:51
PM,zfenicki,ALTER USER,none,2020-01-01,10:45:14
PM,mjarcinska,LOGOFF,none,2020-01-01,11:04:21
PM,aosinska,ALTER USER,none,2020-01-01,11:11:34
PM,tlalka,SELECT,SKILLS,2020-01-01,13:00:38
PM,aosinska,LOGOFF,none,2020-01-01,14:04:24
PM,aosinska,UPDATE,PROJECTS,2020-01-01,15:46:35
PM,sbaszel,LOGOFF,none,2020-01-01,16:27:11
SALES,aosinska,SELECT,PRODUCTS,2020-01-02,09:30:16
PM,ktarnows,INSERT,PROJECTS,2020-01-02,10:24:43
PM,aosinska,ALTER,SKILLS,2020-01-02,13:30:16
SALES,rbielik,SELECT,PRODUCTS,2020-01-02,14:13:55
PM,mszkopianski,LOGOFF,none,2020-01-02,14:56:07
PM,sbaszel,SELECT,TASKS,2020-01-02,16:41:34
PM,aosinska,SELECT,EXPERIENCES,2020-01-03,09:48:04
SALES,apuzon,SELECT,ORDERS,2020-01-03,10:06:09
PM,sbaszel,LOGOFF,none,2020-01-03,10:14:06
PM,zfenicki,SELECT,ASSIGNMENTS,2020-01-03,11:47:26
PM,mwarzycha,SELECT,CUSTOMERS,2020-01-03,13:07:39
PM,apuzon,SELECT,ASSIGNMENTS,2020-01-03,15:36:26
SALES,mjarcinska,SELECT,ORDERS,2020-01-03,16:30:00
PM,mjarcinska,UPDATE,PAYMENTS,2020-01-03,16:30:22
SALES,zfenicki,SELECT,PRODUCTS,2020-01-06,10:19:51
PM,mwarzycha,DELETE,ASSIGNMENTS,2020-01-06,11:00:05
SALES,sbaszel,UPDATE,WAREHOUSES,2020-01-06,11:56:30
PM,amaly,LOGOFF,none,2020-01-06,11:58:48
PM,kuszka,UPDATE,PAYMENTS,2020-01-06,12:00:24
PM,ktarnows,LOGOFF,none,2020-01-06,15:09:28
SALES,kuszka,SELECT,PRODUCTS,2020-01-06,16:48:41
PM,zfenicki,LOGOFF,none,2020-01-07,09:02:55
PM,gnyski,ALTER,PROJECT_DETAILS,2020-01-07,11:08:28
PM,mszkopianski,UPDATE,PROJECT_DETAILS,2020-01-07,14:10:11
PM,pskala,CREATE TABLE,none,2020-01-07,14:37:28
PM,sbaszel,LOGOFF,none,2020-01-07,15:13:24
SALES,zfenicki,DELETE,ORDERS,2020-01-07,15:16:39
PM,mszkopianski,LOGOFF,none,2020-01-07,16:49:13
PM,sbaszel,ALTER USER,none,2020-01-08,12:55:41
SALES,ktarnows,UPDATE,WAREHOUSES,2020-01-08,13:21:34
PM,anowotworski,LOGOFF,none,2020-01-09,09:05:43
PM,apuzon,SELECT,EXPERIENCES,2020-01-09,10:33:05
PM,apuzon,CREATE TABLE,none,2020-01-09,10:39:10
PM,apuzon,LOGOFF,none,2020-01-09,11:56:56
SALES,app,INSERT,PRODUCTS,2020-01-09,14:17:31
PM,ktarnows,LOGOFF,none,2020-01-09,14:47:57
PM,app,UPDATE,PROJECT_DETAILS,2020-01-09,16:47:24
PM,aosinska,LOGOFF,none,2020-01-10,09:53:36
PM,rbielik,LOGOFF,none,2020-01-10,13:28:15
PM,kuszka,UPDATE,SKILLS,2020-01-10,15:10:15
PM,gostrow,SELECT,PAYMENTS,2020-01-10,15:39:05
PM,ktarnows,INSERT,PAYMENTS,2020-01-10,16:44:58
PM,app,LOGOFF,none,2020-01-13,10:10:11
SALES,gostrow,UPDATE,ORDERS,2020-01-13,11:00:01
PM,rbielik,ALTER,PROJECT_DETAILS,2020-01-13,11:06:55
SALES,app,INSERT,DISTRIBUTORS,2020-01-13,11:37:31
SALES,adynka,UPDATE,WAREHOUSES,2020-01-13,12:28:05
PM,ktarnows,DELETE,DIVISIONS,2020-01-13,13:58:42
SALES,ktarnows,DELETE,ORDERS,2020-01-14,09:23:14
PM,aosinska,LOGOFF,none,2020-01-14,12:47:36
PM,mszkopianski,LOGOFF,none,2020-01-15,09:33:03
PM,ktarnows,DELETE,EXPERIENCES,2020-01-15,12:54:06
PM,kespiel,LOGOFF,none,2020-01-15,14:01:04
PM,mwarzycha,DELETE,CLIENTS,2020-01-15,14:03:33
PM,app,LOGOFF,none,2020-01-15,14:08:13
PM,ktarnows,LOGOFF,none,2020-01-15,15:35:50
PM,gnyski,LOGOFF,none,2020-01-15,15:41:41
PM,app,SELECT,TASKS,2020-01-15,16:41:13
PM,gnyski,CREATE TABLE,none,2020-01-16,09:30:32
PM,amaly,LOGOFF,none,2020-01-16,10:21:50
PM,mwarzycha,LOGOFF,none,2020-01-16,10:59:35
PM,mjarcinska,LOGOFF,none,2020-01-16,11:06:41
PM,ktarnows,UPDATE,PAYMENTS,2020-01-16,14:38:35
PM,jsmidt,LOGOFF,none,2020-01-16,14:50:27
PM,app,UPDATE,CLIENTS,2020-01-16,16:21:29
SALES,amaly,INSERT,ORDERS,2020-01-17,10:56:25
SALES,mwarzycha,ALTER,WAREHOUSES,2020-01-17,11:49:36
PM,app,LOGOFF,none,2020-01-17,12:02:10
SALES,aosinska,DELETE,ORDERS,2020-01-17,12:07:58
PM,kespiel,SELECT,TASKS,2020-01-17,14:21:55
PM,zkrepy,DELETE,PAYMENTS,2020-01-17,15:34:21
SALES,mwyjko,UPDATE,WAREHOUSES,2020-01-20,09:25:48
SALES,app,SELECT,DISTRIBUTORS,2020-01-20,09:51:55
SALES,sbaszel,SELECT,PRODUCTS,2020-01-20,11:38:39
PM,app,LOGOFF,none,2020-01-20,12:27:44
PM,app,SELECT,TASKS,2020-01-20,12:52:23
PM,gostrow,SELECT,ASSIGNMENTS,2020-01-20,14:08:28
PM,sbaszel,LOGOFF,none,2020-01-20,15:46:12
SALES,apuzon,UPDATE,WAREHOUSES,2020-01-20,16:05:06
PM,apuzon,SELECT,ASSIGNMENTS,2020-01-20,16:30:08
SALES,gostrow,DELETE,ORDERS,2020-01-20,16:47:36
PM,sbaszel,ALTER USER,none,2020-01-20,16:58:09
PM,ktarnows,CREATE ROLE,none,2020-01-21,10:00:41
PM,sbaszel,SELECT,ASSIGNMENTS,2020-01-21,11:29:57
PM,sbaszel,LOGOFF,none,2020-01-21,11:55:14
PM,mwyjko,UPDATE,PAYMENTS,2020-01-21,11:56:35
PM,ktarnows,LOGOFF,none,2020-01-21,12:46:04
PM,kuszka,ALTER,DEPARTMENTS,2020-01-21,12:55:32
SALES,sbaszel,SELECT,ORDERS,2020-01-21,14:11:25
PM,pskala,LOGOFF,none,2020-01-21,14:53:03
PM,aosinska,LOGOFF,none,2020-01-21,15:16:52
PM,app,LOGOFF,none,2020-01-21,15:34:35
SALES,apuzon,DELETE,ORDERS,2020-01-22,12:06:45
SALES,gnyski,UPDATE,WAREHOUSES,2020-01-22,16:14:27
PM,apuzon,CREATE ROLE,none,2020-01-23,09:24:54
PM,aosinska,LOGOFF,none,2020-01-23,13:02:39
PM,adynka,INSERT,DEPARTMENTS,2020-01-23,13:19:06
PM,kespiel,SELECT,PROJECT_TYPE,2020-01-23,16:37:25
PM,amaly,LOGOFF,none,2020-01-24,09:06:09
PM,ktarnows,INSERT,PROJECT_STATUS,2020-01-24,09:49:12
PM,mwyjko,ALTER,PROJECT_DETAILS,2020-01-24,09:49:40
PM,kuszka,LOGOFF,none,2020-01-24,14:07:58
PM,kuszka,LOGOFF,none,2020-01-24,14:49:14
PM,gnyski,LOGOFF,none,2020-01-24,16:16:32
PM,gnyski,LOGOFF,none,2020-01-27,09:09:20
PM,app,DROP USER,none,2020-01-27,09:10:14
SALES,kespiel,SELECT,WAREHOUSES,2020-01-27,09:43:24
PM,amaly,SELECT,ASSIGNMENTS,2020-01-27,10:42:57
SALES,kespiel,UPDATE,WAREHOUSES,2020-01-27,12:58:59
PM,rbielik,LOGOFF,none,2020-01-27,13:57:20
SALES,apuzon,SELECT,ORDERS,2020-01-27,15:49:29
PM,app,LOGOFF,none,2020-01-28,10:02:39
PM,kuszka,LOGOFF,none,2020-01-28,10:44:38
SALES,amaly,SELECT,PRODUCTS,2020-01-28,15:54:34
PM,kuszka,LOGOFF,none,2020-01-29,13:37:48
PM,amaly,LOGOFF,none,2020-01-29,14:48:46
PM,sbaszel,LOGOFF,none,2020-01-29,16:38:54
PM,zkrepy,UPDATE,ASSIGNMENTS,2020-01-29,16:51:04
PM,zfenicki,LOGOFF,none,2020-01-30,10:16:09
PM,gostrow,DELETE,ASSIGNMENTS,2020-01-30,11:10:31
PM,gnyski,LOGOFF,none,2020-01-30,12:15:38
PM,tlalka,DELETE,PAYMENTS,2020-01-30,15:31:37
PM,amaly,DELETE,CUSTOMERS,2020-01-31,09:51:40
PM,mszkopianski,DELETE,PAYMENTS,2020-01-31,14:44:20
SALES,mwyjko,SELECT,ORDERS,2020-01-31,15:20:54
PM,rbielik,LOGOFF,none,2020-02-03,11:07:48
SALES,kespiel,UPDATE,PRODUCTS,2020-02-03,11:12:58
PM,aosinska,SELECT,CUSTOMERS,2020-02-03,11:18:39
SALES,ktarnows,SELECT,PRODUCTS,2020-02-03,15:12:44
PM,amaly,LOGOFF,none,2020-02-03,15:59:05
PM,kespiel,SELECT,PROJECTS,2020-02-04,11:23:25
PM,kespiel,INSERT,PROJECT_TYPE,2020-02-04,12:14:37
PM,kuszka,LOGOFF,none,2020-02-04,12:15:33
SALES,sbaszel,SELECT,ORDERS,2020-02-04,12:28:17
PM,gostrow,SELECT,TASKS,2020-02-04,12:56:15
PM,app,INSERT,TASKS,2020-02-04,13:06:39
PM,mwarzycha,LOGOFF,none,2020-02-04,15:29:15
PM,aosinska,LOGOFF,none,2020-02-04,15:45:56
PM,gostrow,SELECT,CUSTOMERS,2020-02-05,09:04:13
PM,apuzon,SELECT,ASSIGNMENTS,2020-02-05,10:56:28
PM,ktarnows,LOGOFF,none,2020-02-05,11:14:30
SALES,zfenicki,SELECT,DISTRIBUTORS,2020-02-05,11:18:03
PM,ktarnows,LOGOFF,none,2020-02-05,11:27:49
SALES,mwarzycha,UPDATE,WAREHOUSES,2020-02-05,11:37:44
PM,mjarcinska,LOGOFF,none,2020-02-05,12:25:13
PM,aosinska,ALTER,DEPARTMENTS,2020-02-05,15:25:52
PM,kuszka,LOGOFF,none,2020-02-05,16:03:55
SALES,ktarnows,UPDATE,ORDERS,2020-02-06,09:32:13
PM,rbielik,SELECT,CUSTOMERS,2020-02-06,10:41:27
PM,sbaszel,ALTER USER,none,2020-02-06,12:00:06
SALES,kuszka,SELECT,ORDERS,2020-02-06,13:18:34
SALES,zfenicki,DELETE,ORDERS,2020-02-06,14:20:05
