System,User,Operation,Object,Date,Time
PM,anowotworski,LOGON,none,2020-01-01,09:00:20
PM,rbielik,LOGON,none,2020-01-01,09:01:15
PM,mwarzycha,LOGON,none,2020-01-01,09:01:35
PM,mwarzycha,DELETE,DIVISIONS,2020-01-01,09:02:33
PM,gnyski,LOGON,none,2020-01-01,09:09:50
PM,apuzon,LOGON,none,2020-01-01,09:13:06
PM,anowotworski,SELECT,ASSIGNMENTS,2020-01-01,09:16:57
PM,apuzon,DELETE,PAYMENTS,2020-01-01,09:18:38
PM,tlalka,LOGON,none,2020-01-01,09:20:24
PM,rbielik,LOGOFF,none,2020-01-01,09:23:01
PM,ktarnows,LOGON,none,2020-01-01,09:25:57
PM,kespiel,LOGON,none,2020-01-01,09:26:33
PM,amaly,LOGON,none,2020-01-01,09:26:58
PM,kuszka,LOGON,none,2020-01-01,09:28:40
PM,rbielik,LOGON,none,2020-01-01,09:28:45
PM,ktarnows,ALTER,PROJECT_TYPE,2020-01-01,09:28:47
SALES,kuszka,SELECT,ORDERS,2020-01-01,09:38:33
PM,ktarnows,ALTER,PROJECT_DETAILS,2020-01-01,09:38:35
PM,app,LOGON,none,2020-01-01,09:40:36
SALES,ktarnows,ALTER,WAREHOUSES,2020-01-01,09:42:18
PM,rbielik,LOGOFF,none,2020-01-01,09:45:12
PM,apuzon,DELETE,PAYMENTS,2020-01-01,09:46:00
PM,apuzon,INSERT,PAYMENTS,2020-01-01,09:46:10
PM,kuszka,LOGOFF,none,2020-01-01,09:46:44
SALES,amaly,SELECT,DISTRIBUTORS,2020-01-01,09:51:22
PM,mjarcinska,LOGON,none,2020-01-01,09:53:32
PM,sbaszel,LOGON,none,2020-01-01,09:55:41
SALES,sbaszel,UPDATE,PRODUCTS,2020-01-01,09:56:35
PM,kespiel,ALTER USER,none,2020-01-01,09:57:33
SALES,mwarzycha,INSERT,DISTRIBUTORS,2020-01-01,09:58:52
PM,sbaszel,LOGOFF,none,2020-01-01,09:59:31
PM,adynka,LOGON,none,2020-01-01,10:00:51
