System,User,Operation,Object,Date,Day,Time
1,15,1,,20200101,3,90049
1,19,1,,20200101,3,90257
1,1,1,,20200101,3,90322
1,19,2,,20200101,3,90332
1,12,1,,20200101,3,90351
1,20,1,,20200101,3,90354
1,19,1,,20200101,3,90543
1,11,1,,20200101,3,90825
1,15,4,8,20200101,3,90857
1,17,1,,20200101,3,90953
1,18,1,,20200101,3,91050
2,15,3,18,20200101,3,91146
1,2,1,,20200101,3,91153
1,13,1,,20200101,3,91237
1,14,1,,20200101,3,91332
1,22,1,,20200101,3,91405
1,19,2,,20200101,3,91440
1,17,2,,20200101,3,91522
1,14,3,11,20200101,3,91756
1,19,1,,20200101,3,91757
1,15,8,8,20200101,3,91800
1,17,1,,20200101,3,91809
1,16,1,,20200101,3,91814
1,13,2,,20200101,3,91842
1,11,2,,20200101,3,91932
2,15,3,18,20200101,3,91954
1,13,1,,20200101,3,92254
1,19,2,,20200101,3,92325
1,16,8,10,20200101,3,92447
1,12,3,5,20200101,3,92455
1,16,7,12,20200101,3,92459
1,19,1,,20200101,3,92602
1,17,5,1,20200101,3,92907
1,16,2,,20200101,3,92938
1,19,2,,20200101,3,92953
1,17,2,,20200101,3,93041
1,19,1,,20200101,3,93154
1,2,8,9,20200101,3,93300
2,18,4,16,20200101,3,93322
1,17,1,,20200101,3,93322
1,14,2,,20200101,3,93447
2,17,5,16,20200101,3,93503
1,17,5,4,20200101,3,93508
1,19,3,19,20200101,3,93721
1,22,2,,20200101,3,93846
1,16,1,,20200101,3,93911
1,17,5,19,20200101,3,93944
1,15,4,8,20200101,3,93954
1,16,7,12,20200101,3,94126
1,17,2,,20200101,3,94347
1,6,1,,20200101,3,94422
1,3,1,,20200101,3,94433
1,16,3,4,20200101,3,94450
1,2,8,9,20200101,3,94535
1,21,1,,20200101,3,94715
2,12,4,17,20200101,3,94832
1,16,4,13,20200101,3,94852
2,19,3,17,20200101,3,94903
2,19,3,18,20200101,3,94935
1,12,7,6,20200101,3,94944
2,20,8,18,20200101,3,94950
1,12,3,2,20200101,3,95104
2,20,3,18,20200101,3,95258
2,21,4,15,20200101,3,95301
1,20,2,,20200101,3,95316
2,18,3,15,20200101,3,95341
1,17,1,,20200101,3,95423
1,16,4,12,20200101,3,95508
2,21,4,15,20200101,3,95511
1,15,8,8,20200101,3,95524
1,22,1,,20200101,3,95537
1,19,2,,20200101,3,95720
1,15,3,8,20200101,3,95926
1,19,1,,20200101,3,100025
1,2,8,3,20200101,3,100055
1,16,4,14,20200101,3,100219
1,20,1,,20200101,3,100229
1,2,8,3,20200101,3,100315
1,17,2,,20200101,3,100324
1,10,1,,20200101,3,100342
2,13,3,17,20200101,3,100451
1,18,2,,20200101,3,100455
1,13,2,,20200101,3,100716
1,16,3,19,20200101,3,100935
2,19,3,18,20200101,3,101001
1,6,2,,20200101,3,101014
1,19,2,,20200101,3,101104
1,20,2,,20200101,3,101140
1,16,8,13,20200101,3,101214
1,20,1,,20200101,3,101437
1,13,1,,20200101,3,101458
1,18,1,,20200101,3,101519
1,16,4,13,20200101,3,101724
2,12,7,17,20200101,3,101934
1,10,15,,20200101,3,102124
1,11,1,,20200101,3,102408
2,20,4,18,20200101,3,102633
1,15,8,8,20200101,3,102647
1,8,1,,20200101,3,102709
1,19,1,,20200101,3,102750
2,20,7,18,20200101,3,102802
1,12,8,6,20200101,3,103020
1,17,1,,20200101,3,103124
1,1,8,9,20200101,3,103222
2,18,3,16,20200101,3,103236
1,14,1,,20200101,3,103414
1,15,2,,20200101,3,103509
1,19,2,,20200101,3,103545
1,17,2,,20200101,3,103627
2,14,4,18,20200101,3,103646
1,12,7,1,20200101,3,103653
1,22,2,,20200101,3,103730
1,2,8,3,20200101,3,104046
2,21,4,15,20200101,3,104057
1,2,7,9,20200101,3,104112
1,17,1,,20200101,3,104131
1,17,2,,20200101,3,104326
2,18,7,15,20200101,3,104333
1,16,3,8,20200101,3,104728
1,16,3,9,20200101,3,104825
1,9,1,,20200101,3,104856
1,18,2,,20200101,3,104928
1,11,15,,20200101,3,104945
1,15,1,,20200101,3,105057
1,15,7,8,20200101,3,105142
1,10,13,,20200101,3,105342
1,17,1,,20200101,3,105350
1,3,3,11,20200101,3,105549
1,3,3,4,20200101,3,105640
1,9,3,4,20200101,3,105646
1,16,3,10,20200101,3,105706
2,20,3,16,20200101,3,105727
1,18,1,,20200101,3,105841
1,22,1,,20200101,3,105854
2,22,3,18,20200101,3,110004
1,15,3,8,20200101,3,110043
1,19,1,,20200101,3,110108
1,3,2,,20200101,3,110126
1,16,8,10,20200101,3,110306
1,12,7,6,20200101,3,110317
1,12,7,5,20200101,3,110436
1,5,1,,20200101,3,110601
1,5,3,4,20200101,3,110709
1,7,1,,20200101,3,110712
2,18,7,15,20200101,3,110842
1,12,2,,20200101,3,110906
1,3,1,,20200101,3,111044
1,19,2,,20200101,3,111051
2,14,3,15,20200101,3,111130
1,16,3,11,20200101,3,111222
2,15,3,18,20200101,3,111443
1,17,5,7,20200101,3,111504
1,17,2,,20200101,3,111628
2,18,7,16,20200101,3,111716
1,17,1,,20200101,3,111728
1,12,1,,20200101,3,111735
1,17,2,,20200101,3,111735
1,14,2,,20200101,3,111806
1,17,1,,20200101,3,111838
2,22,4,15,20200101,3,111854
2,20,8,18,20200101,3,111936
1,3,7,3,20200101,3,112157
1,16,7,14,20200101,3,112242
1,8,2,,20200101,3,112315
2,21,4,15,20200101,3,112347
1,20,2,,20200101,3,112424
1,16,8,13,20200101,3,112552
1,22,2,,20200101,3,112611
1,18,2,,20200101,3,112724
1,17,5,6,20200101,3,112726
1,2,3,12,20200101,3,112817
1,13,4,19,20200101,3,112828
1,20,1,,20200101,3,112942
1,6,1,,20200101,3,112952
1,17,5,2,20200101,3,112954
1,19,1,,20200101,3,113000
1,18,1,,20200101,3,113051
2,2,4,16,20200101,3,113056
1,16,2,,20200101,3,113121
1,5,2,,20200101,3,113158
1,3,4,3,20200101,3,113242
1,12,4,2,20200101,3,113444
1,12,2,,20200101,3,113447
1,11,15,,20200101,3,113600
1,15,8,8,20200101,3,113810
2,18,3,15,20200101,3,113829
1,16,1,,20200101,3,113927
1,15,7,8,20200101,3,114134
1,6,2,,20200101,3,114204
1,5,1,,20200101,3,114204
1,12,1,,20200101,3,114246
1,1,3,1,20200101,3,114336
1,14,1,,20200101,3,114348
1,20,2,,20200101,3,114440
1,11,14,,20200101,3,114526
2,13,3,17,20200101,3,114538
1,12,8,5,20200101,3,114605
1,3,8,4,20200101,3,114621
1,16,7,14,20200101,3,114736
1,17,2,,20200101,3,114801
2,18,3,16,20200101,3,114817
1,6,1,,20200101,3,114822
1,12,3,2,20200101,3,114920
1,13,7,11,20200101,3,115017
2,18,8,16,20200101,3,115040
1,15,2,,20200101,3,115043
1,17,1,,20200101,3,115342
1,3,2,,20200101,3,115558
1,19,3,19,20200101,3,115633
1,17,5,3,20200101,3,115642
1,18,2,,20200101,3,115727
2,21,3,15,20200101,3,115737
1,15,1,,20200101,3,120002
1,22,1,,20200101,3,120331
2,14,3,16,20200101,3,120552
1,15,8,8,20200101,3,120621
1,17,2,,20200101,3,121034
1,5,3,4,20200101,3,121035
1,22,2,,20200101,3,121215
1,18,1,,20200101,3,121221
1,12,8,1,20200101,3,121403
1,17,1,,20200101,3,121414
1,12,8,6,20200101,3,121432
2,18,3,16,20200101,3,121435
1,19,2,,20200101,3,121643
1,10,12,,20200101,3,121701
1,1,8,4,20200101,3,121718
2,17,5,16,20200101,3,121809
1,14,8,19,20200101,3,122016
1,16,3,19,20200101,3,122349
1,10,14,,20200101,3,122418
1,13,7,11,20200101,3,122439
1,20,1,,20200101,3,122547
1,21,2,,20200101,3,122610
2,17,5,16,20200101,3,122705
1,10,11,,20200101,3,122844
1,19,1,,20200101,3,122948
2,18,8,16,20200101,3,123055
1,15,8,8,20200101,3,123145
1,17,5,3,20200101,3,123230
1,15,7,8,20200101,3,123426
2,18,7,15,20200101,3,123619
1,16,7,12,20200101,3,123621
1,10,11,,20200101,3,123642
1,14,8,19,20200101,3,123645
1,11,15,,20200101,3,123648
1,19,2,,20200101,3,123739
1,11,2,,20200101,3,123809
2,20,7,18,20200101,3,123859
2,20,7,18,20200101,3,124221
1,15,4,8,20200101,3,124604
2,18,8,15,20200101,3,124608
1,12,4,7,20200101,3,124612
1,22,1,,20200101,3,124619
1,21,1,,20200101,3,124620
1,1,7,4,20200101,3,124634
1,13,7,19,20200101,3,124641
2,18,3,15,20200101,3,124807
1,15,8,8,20200101,3,124808
1,10,11,,20200101,3,124820
1,16,7,14,20200101,3,124833
1,17,2,,20200101,3,124952
2,20,3,18,20200101,3,125228
1,15,4,8,20200101,3,125526
2,20,3,16,20200101,3,125658
2,18,8,16,20200101,3,125702
1,15,8,8,20200101,3,125803
2,18,4,16,20200101,3,130051
2,18,3,15,20200101,3,130158
2,12,4,17,20200101,3,130213
1,15,7,8,20200101,3,130304
1,8,1,,20200101,3,130400
1,15,2,,20200101,3,130442
1,11,1,,20200101,3,130448
1,7,3,3,20200101,3,130452
1,16,3,14,20200101,3,130503
2,20,3,18,20200101,3,130548
1,4,1,,20200101,3,130609
1,12,7,2,20200101,3,130624
1,14,2,,20200101,3,130732
1,12,3,7,20200101,3,130810
1,14,1,,20200101,3,130813
2,20,4,18,20200101,3,130839
