System,User,Operation,Object,Date,Day,Time
1,7,1,0,20200101,3,90020
1,21,1,0,20200101,3,90115
1,12,1,0,20200101,3,90135
1,12,8,6,20200101,3,90233
1,14,1,0,20200101,3,90950
1,15,1,0,20200101,3,91306
1,7,3,3,20200101,3,91657
1,15,8,8,20200101,3,91838
1,5,1,0,20200101,3,92024
1,21,2,0,20200101,3,92301
1,17,1,0,20200101,3,92557
1,10,1,0,20200101,3,92633
1,19,1,0,20200101,3,92658
1,13,1,0,20200101,3,92840
1,21,1,0,20200101,3,92845
1,17,5,14,20200101,3,92847
2,13,3,18,20200101,3,93833
1,17,5,10,20200101,3,93835
1,20,1,0,20200101,3,94036
2,17,5,15,20200101,3,94218
1,21,2,0,20200101,3,94512
1,15,8,8,20200101,3,94600
1,15,7,8,20200101,3,94610
1,13,2,0,20200101,3,94644
2,19,3,17,20200101,3,95122
1,2,1,0,20200101,3,95332
1,18,1,0,20200101,3,95541
2,18,4,16,20200101,3,95635
1,10,14,0,20200101,3,95733
2,12,7,17,20200101,3,95852
1,18,2,0,20200101,3,95931
1,8,1,0,20200101,3,100051
1,9,1,0,20200101,3,100129
1,22,1,0,20200101,3,100817
1,12,2,0,20200101,3,101207
1,14,7,19,20200101,3,101245
1,14,2,0,20200101,3,101250
1,15,2,0,20200101,3,101401
1,16,1,0,20200101,3,101402
1,12,1,0,20200101,3,101655
1,13,1,0,20200101,3,101725
2,19,3,16,20200101,3,101840
1,19,3,19,20200101,3,102034
2,19,3,17,20200101,3,102218
1,21,1,0,20200101,3,102348
1,10,14,0,20200101,3,102422
1,2,8,9,20200101,3,102800
1,2,7,3,20200101,3,102827
1,11,1,0,20200101,3,103411
1,16,4,12,20200101,3,103430
1,12,4,2,20200101,3,103805
1,5,2,0,20200101,3,103848
1,17,2,0,20200101,3,104016
2,19,3,18,20200101,3,104036
1,15,1,0,20200101,3,104145
2,20,4,18,20200101,3,104312
1,17,1,0,20200101,3,104513
2,21,4,15,20200101,3,104555
1,16,3,10,20200101,3,104805
1,11,12,0,20200101,3,104841
1,9,3,4,20200101,3,104947
1,22,2,0,20200101,3,105059
1,16,8,10,20200101,3,105102
1,7,3,4,20200101,3,105306
1,16,2,0,20200101,3,105624
1,14,1,0,20200101,3,105635
2,15,3,18,20200101,3,105929
1,17,5,12,20200101,3,110444
1,17,5,6,20200101,3,110638
1,12,8,2,20200101,3,110718
1,20,2,0,20200101,3,110812
1,14,3,19,20200101,3,110828
1,15,8,8,20200101,3,111045
1,18,1,0,20200101,3,111453
2,12,3,17,20200101,3,111647
1,16,1,0,20200101,3,111716
1,16,3,11,20200101,3,111931
2,19,3,16,20200101,3,112159
2,19,3,17,20200101,3,112226
1,12,7,7,20200101,3,112632
2,18,3,15,20200101,3,112758
1,20,1,0,20200101,3,112828
1,22,1,0,20200101,3,113200
2,12,7,17,20200101,3,113208
2,21,3,15,20200101,3,113324
2,18,8,15,20200101,3,113614
2,12,8,17,20200101,3,113708
1,17,2,0,20200101,3,113708
1,15,3,8,20200101,3,113821
1,9,2,0,20200101,3,113847
1,17,1,0,20200101,3,113904
2,18,7,16,20200101,3,113905
1,15,2,0,20200101,3,113941
1,12,7,6,20200101,3,114131
1,16,7,13,20200101,3,114213
1,10,12,0,20200101,3,114248
1,6,1,0,20200101,3,114655
1,12,2,0,20200101,3,114808
1,15,1,0,20200101,3,114809
1,2,2,0,20200101,3,114858
1,5,1,0,20200101,3,114920
2,20,7,18,20200101,3,115205
1,9,1,0,20200101,3,115506
1,12,1,0,20200101,3,115602
2,20,7,18,20200101,3,115701
1,19,2,0,20200101,3,115811
1,17,5,10,20200101,3,115829
1,10,11,0,20200101,3,115854
2,18,3,15,20200101,3,115934
2,12,7,17,20200101,3,120016
2,21,4,15,20200101,3,120108
2,20,4,18,20200101,3,120344
2,22,3,15,20200101,3,120552
1,7,2,0,20200101,3,120613
1,15,4,8,20200101,3,120924
1,22,2,0,20200101,3,121326
1,15,4,8,20200101,3,121343
1,16,2,0,20200101,3,121509
1,13,4,11,20200101,3,121547
1,12,2,0,20200101,3,121610
1,10,14,0,20200101,3,121634
1,11,14,0,20200101,3,121852
1,15,3,8,20200101,3,121938
1,14,2,0,20200101,3,121939
1,14,1,0,20200101,3,122133
2,13,8,18,20200101,3,122353
1,15,2,0,20200101,3,122513
1,5,2,0,20200101,3,122850
1,8,2,0,20200101,3,122914
1,17,2,0,20200101,3,123024
1,16,1,0,20200101,3,123715
2,18,3,15,20200101,3,123732
2,18,3,16,20200101,3,123826
1,17,1,0,20200101,3,124155
1,20,2,0,20200101,3,124434
1,12,1,0,20200101,3,124510
1,11,12,0,20200101,3,124853
1,11,2,0,20200101,3,125123
2,21,4,15,20200101,3,125136
