,System,User,Operation,Object,Date,Day,Time
0,1,15,1,,20200101,3,90049
1,1,19,1,,20200101,3,90257
2,1,1,1,,20200101,3,90322
3,1,19,2,,20200101,3,90332
4,1,12,1,,20200101,3,90351
5,1,20,1,,20200101,3,90354
6,1,19,1,,20200101,3,90543
7,1,11,1,,20200101,3,90825
8,1,15,4,8.0,20200101,3,90857
9,1,17,1,,20200101,3,90953
10,1,18,1,,20200101,3,91050
11,2,15,3,18.0,20200101,3,91146
12,1,2,1,,20200101,3,91153
13,1,13,1,,20200101,3,91237
14,1,14,1,,20200101,3,91332
15,1,22,1,,20200101,3,91405
16,1,19,2,,20200101,3,91440
17,1,17,2,,20200101,3,91522
18,1,14,3,11.0,20200101,3,91756
19,1,19,1,,20200101,3,91757
20,1,15,8,8.0,20200101,3,91800
21,1,17,1,,20200101,3,91809
22,1,16,1,,20200101,3,91814
23,1,13,2,,20200101,3,91842
24,1,11,2,,20200101,3,91932
25,2,15,3,18.0,20200101,3,91954
26,1,13,1,,20200101,3,92254
27,1,19,2,,20200101,3,92325
28,1,16,8,10.0,20200101,3,92447
29,1,12,3,5.0,20200101,3,92455
30,1,16,7,12.0,20200101,3,92459
31,1,19,1,,20200101,3,92602
32,1,17,5,1.0,20200101,3,92907
33,1,16,2,,20200101,3,92938
34,1,19,2,,20200101,3,92953
35,1,17,2,,20200101,3,93041
36,1,19,1,,20200101,3,93154
37,1,2,8,9.0,20200101,3,93300
38,2,18,4,16.0,20200101,3,93322
39,1,17,1,,20200101,3,93322
40,1,14,2,,20200101,3,93447
41,2,17,5,16.0,20200101,3,93503
42,1,17,5,4.0,20200101,3,93508
43,1,19,3,19.0,20200101,3,93721
44,1,22,2,,20200101,3,93846
45,1,16,1,,20200101,3,93911
46,1,17,5,19.0,20200101,3,93944
47,1,15,4,8.0,20200101,3,93954
48,1,16,7,12.0,20200101,3,94126
49,1,17,2,,20200101,3,94347
50,1,6,1,,20200101,3,94422
51,1,3,1,,20200101,3,94433
52,1,16,3,4.0,20200101,3,94450
53,1,2,8,9.0,20200101,3,94535
54,1,21,1,,20200101,3,94715
55,2,12,4,17.0,20200101,3,94832
56,1,16,4,13.0,20200101,3,94852
57,2,19,3,17.0,20200101,3,94903
58,2,19,3,18.0,20200101,3,94935
59,1,12,7,6.0,20200101,3,94944
60,2,20,8,18.0,20200101,3,94950
61,1,12,3,2.0,20200101,3,95104
62,2,20,3,18.0,20200101,3,95258
63,2,21,4,15.0,20200101,3,95301
64,1,20,2,,20200101,3,95316
65,2,18,3,15.0,20200101,3,95341
66,1,17,1,,20200101,3,95423
67,1,16,4,12.0,20200101,3,95508
68,2,21,4,15.0,20200101,3,95511
69,1,15,8,8.0,20200101,3,95524
70,1,22,1,,20200101,3,95537
71,1,19,2,,20200101,3,95720
72,1,15,3,8.0,20200101,3,95926
73,1,19,1,,20200101,3,100025
74,1,2,8,3.0,20200101,3,100055
75,1,16,4,14.0,20200101,3,100219
76,1,20,1,,20200101,3,100229
77,1,2,8,3.0,20200101,3,100315
78,1,17,2,,20200101,3,100324
79,1,10,1,,20200101,3,100342
80,2,13,3,17.0,20200101,3,100451
81,1,18,2,,20200101,3,100455
82,1,13,2,,20200101,3,100716
83,1,16,3,19.0,20200101,3,100935
84,2,19,3,18.0,20200101,3,101001
85,1,6,2,,20200101,3,101014
86,1,19,2,,20200101,3,101104
87,1,20,2,,20200101,3,101140
88,1,16,8,13.0,20200101,3,101214
89,1,20,1,,20200101,3,101437
90,1,13,1,,20200101,3,101458
91,1,18,1,,20200101,3,101519
92,1,16,4,13.0,20200101,3,101724
93,2,12,7,17.0,20200101,3,101934
94,1,10,15,,20200101,3,102124
95,1,11,1,,20200101,3,102408
96,2,20,4,18.0,20200101,3,102633
97,1,15,8,8.0,20200101,3,102647
98,1,8,1,,20200101,3,102709
99,1,19,1,,20200101,3,102750
100,2,20,7,18.0,20200101,3,102802
101,1,12,8,6.0,20200101,3,103020
102,1,17,1,,20200101,3,103124
103,1,1,8,9.0,20200101,3,103222
104,2,18,3,16.0,20200101,3,103236
105,1,14,1,,20200101,3,103414
106,1,15,2,,20200101,3,103509
107,1,19,2,,20200101,3,103545
108,1,17,2,,20200101,3,103627
109,2,14,4,18.0,20200101,3,103646
110,1,12,7,1.0,20200101,3,103653
111,1,22,2,,20200101,3,103730
112,1,2,8,3.0,20200101,3,104046
113,2,21,4,15.0,20200101,3,104057
114,1,2,7,9.0,20200101,3,104112
115,1,17,1,,20200101,3,104131
116,1,17,2,,20200101,3,104326
117,2,18,7,15.0,20200101,3,104333
118,1,16,3,8.0,20200101,3,104728
119,1,16,3,9.0,20200101,3,104825
120,1,9,1,,20200101,3,104856
